,Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Date,Time,Year,Month
58,2021-04-02 15:52:58,71.2N,106.7E,40.0,14.1,-8.9,6.3,-9.0,137000000000.0,0.4,2021-04-02,15:52:58,2021,April
59,2021-03-06 08:43:06,48.6S,90.4E,31.1,18.1,12.7,-4.7,12.0,141000000000.0,0.41,2021-03-06,08:43:06,2021,March
60,2021-03-05 13:50:01,81.1S,141.1E,32.5,23.3,10.1,-8.4,19.2,39000000000.0,0.13,2021-03-05,13:50:01,2021,March
61,2021-02-28 03:47:37,9.2N,64.1W,,,,,,28000000000.0,0.098,2021-02-28,03:47:37,2021,February
62,2021-02-09 23:27:29,75.8N,92.8W,31.0,13.1,-5.2,6.3,-10.3,30000000000.0,0.1,2021-02-09,23:27:29,2021,February
63,2021-02-02 10:03:21,48.7N,80.1E,20.0,12.8,4.0,-6.7,-10.1,31000000000.0,0.11,2021-02-02,10:03:21,2021,February
64,2021-01-31 02:59:39,5.3N,115.2E,39.4,15.2,14.0,-5.8,1.7,267000000000.0,0.72,2021-01-31,02:59:39,2021,January
65,2021-01-29 16:12:47,38.8N,51.3W,30.0,14.3,-14.2,1.9,-0.6,77000000000.0,0.24,2021-01-29,16:12:47,2021,January
66,2021-01-25 03:01:37,38.5N,47.6W,19.1,,,,,75000000000.0,0.23,2021-01-25,03:01:37,2021,January
67,2021-01-24 07:33:43,45.0S,95.5E,37.5,19.2,13.3,-3.7,13.3,61000000000.0,0.2,2021-01-24,07:33:43,2021,January
68,2020-12-29 20:32:22,14.9N,158.2W,33.0,14.4,-3.0,10.2,-9.7,49000000000.0,0.16,2020-12-29,20:32:22,2020,December
69,2020-12-28 17:27:53,36.8N,54.7W,28.3,15.2,1.5,3.5,-14.7,57000000000.0,0.18,2020-12-28,17:27:53,2020,December
70,2020-12-22 23:23:33,31.9N,96.2E,35.5,13.6,-2.6,5.9,-12.1,4898000000000.0,9.5,2020-12-22,23:23:33,2020,December
71,2020-11-28 16:34:11,33.3N,135.1E,28.1,19.6,1.8,-16.5,-10.4,26000000000.0,0.092,2020-11-28,16:34:11,2020,November
72,2020-11-25 12:20:50,30.5S,81.0W,,,,,,21000000000.0,0.076,2020-11-25,12:20:50,2020,November
73,2020-11-07 21:27:04,59.8N,16.8E,22.3,16.7,-10.8,1.2,-12.7,111000000000.0,0.33,2020-11-07,21:27:04,2020,November
74,2020-10-26 15:09:10,5.9S,160.4E,28.5,17.6,10.9,-13.8,-0.1,114000000000.0,0.34,2020-10-26,15:09:10,2020,October
75,2020-10-23 20:51:39,30.0N,71.9W,48.0,,,,,80000000000.0,0.25,2020-10-23,20:51:39,2020,October
76,2020-10-22 17:39:33,22.0N,133.5W,40.0,17.6,-9.4,14.1,-4.9,44000000000.0,0.15,2020-10-22,17:39:33,2020,October
77,2020-10-21 18:57:33,12.9N,150.2W,,,,,,22000000000.0,0.079,2020-10-21,18:57:33,2020,October
78,2020-10-21 06:38:49,29.7S,93.9W,39.0,,,,,27000000000.0,0.095,2020-10-21,06:38:49,2020,October
79,2020-10-19 07:05:47,48.6N,93.9E,40.7,,,,,21000000000.0,0.076,2020-10-19,07:05:47,2020,October
80,2020-10-18 10:52:43,11.4S,135.8W,36.0,16.4,15.6,1.5,4.9,36000000000.0,0.12,2020-10-18,10:52:43,2020,October
81,2020-09-18 08:05:27,2.4N,169.7W,46.0,11.7,10.2,2.9,-4.9,41000000000.0,0.14,2020-09-18,08:05:27,2020,September
82,2020-08-30 16:08:22,26.0N,133.5E,27.8,23.4,7.8,-21.7,3.7,64000000000.0,0.2,2020-08-30,16:08:22,2020,August
83,2020-08-02 16:36:25,35.1S,34.2W,38.0,11.1,0.5,6.0,9.3,74000000000.0,0.23,2020-08-02,16:36:25,2020,August
84,2020-07-22 02:55:40,20.0S,103.8W,36.0,,,,,22000000000.0,0.079,2020-07-22,02:55:40,2020,July
85,2020-07-20 21:25:09,51.8S,11.2W,31.6,14.1,-2.9,-1.0,-13.8,50000000000.0,0.16,2020-07-20,21:25:09,2020,July
86,2020-07-12 07:50:32,48.7S,74.0E,29.4,18.3,-5.0,-13.0,-11.9,75000000000.0,0.23,2020-07-12,07:50:32,2020,July
87,2020-05-27 17:30:18,40.8N,41.7E,29.3,14.9,-6.0,-7.3,-11.5,57000000000.0,0.18,2020-05-27,17:30:18,2020,May
88,2020-05-18 01:11:09,38.7S,77.2E,25.0,,,,,162000000000.0,0.46,2020-05-18,01:11:09,2020,May
89,2020-05-12 23:22:56,15.9N,174.2E,,,,,,83000000000.0,0.26,2020-05-12,23:22:56,2020,May
90,2020-05-09 09:37:15,7.2N,44.2W,52.5,,,,,41000000000.0,0.14,2020-05-09,09:37:15,2020,May
91,2020-05-09 02:56:11,44.8N,131.0W,31.2,14.5,-13.0,-4.0,-5.0,41000000000.0,0.14,2020-05-09,02:56:11,2020,May
92,2020-04-28 05:43:17,20.1N,109.4W,,,,,,21000000000.0,0.076,2020-04-28,05:43:17,2020,April
93,2020-04-18 13:08:38,12.5N,49.8W,,,,,,27000000000.0,0.095,2020-04-18,13:08:38,2020,April
94,2020-04-14 11:11:16,65.6S,45.6W,,,,,,20000000000.0,0.073,2020-04-14,11:11:16,2020,April
95,2020-03-26 23:27:56,38.3S,23.5E,26.5,20.7,-10.0,3.2,17.8,124000000000.0,0.37,2020-03-26,23:27:56,2020,March
96,2020-03-23 16:51:51,24.4S,67.9W,25.0,,,,,133000000000.0,0.39,2020-03-23,16:51:51,2020,March
97,2020-03-22 06:44:29,,,,,,,,25000000000.0,0.089,2020-03-22,06:44:29,2020,March
98,2020-03-04 20:25:59,53.3S,90.8E,24.3,19.8,-5.2,2.2,19.0,394000000000.0,1.0,2020-03-04,20:25:59,2020,March
99,2020-02-28 09:30:34,45.7N,15.1E,34.5,21.5,-18.2,-11.3,-2.1,115000000000.0,0.34,2020-02-28,09:30:34,2020,February
100,2020-02-24 22:21:28,3.6N,96.0W,,,,,,20000000000.0,0.073,2020-02-24,22:21:28,2020,February
101,2020-02-10 23:48:17,28.2N,76.7E,41.7,31.7,-27.8,-14.3,-5.2,27000000000.0,0.095,2020-02-10,23:48:17,2020,February
102,2020-01-27 05:39:15,30.4N,1.5E,32.5,19.8,-2.0,-16.6,-10.6,44000000000.0,0.15,2020-01-27,05:39:15,2020,January
103,2020-01-24 11:13:31,28.0N,35.8W,32.0,21.2,-18.6,-9.0,-4.7,26000000000.0,0.092,2020-01-24,11:13:31,2020,January
104,2020-01-21 20:07:44,33.1N,34.3E,43.3,27.4,-7.5,-23.5,-11.9,28000000000.0,0.098,2020-01-21,20:07:44,2020,January
105,2020-01-17 21:29:49,19.4N,66.0W,14.5,15.5,-13.2,8.1,1.2,97000000000.0,0.29,2020-01-17,21:29:49,2020,January
106,2020-01-16 09:31:42,71.7S,116.4W,27.8,12.9,9.8,-4.5,7.0,59000000000.0,0.19,2020-01-16,09:31:42,2020,January
107,2020-01-15 06:31:39,23.7S,125.2W,31.5,,,,,196000000000.0,0.55,2020-01-15,06:31:39,2020,January
108,2020-01-06 11:03:50,70.4S,17.5W,,,,,,45000000000.0,0.15,2020-01-06,11:03:50,2020,January
109,2019-12-21 14:30:52,56.5N,147.6W,35.5,22.2,14.9,-8.1,-14.3,65000000000.0,0.21,2019-12-21,14:30:52,2019,December
110,2019-12-11 01:19:11,47.7N,161.7E,37.0,17.8,13.7,-10.9,-3.3,39000000000.0,0.13,2019-12-11,01:19:11,2019,December
111,2019-12-06 10:19:57,3.3S,37.7W,19.5,,,,,46000000000.0,0.15,2019-12-06,10:19:57,2019,December
112,2019-12-03 06:46:27,5.6N,52.2W,61.5,,,,,42000000000.0,0.14,2019-12-03,06:46:27,2019,December
113,2019-11-28 20:30:54,35.7N,31.7W,35.0,13.0,-11.6,-2.5,-5.4,27000000000.0,0.095,2019-11-28,20:30:54,2019,November
114,2019-11-28 13:22:10,,,,,,,,26000000000.0,0.092,2019-11-28,13:22:10,2019,November
115,2019-11-28 11:55:02,22.1S,25.7E,22.5,24.7,-22.8,-5.5,7.6,25000000000.0,0.089,2019-11-28,11:55:02,2019,November
